BHID;FROM;TO;YEAR;UBICACIÓN;NIVEL;Lito Agrupada;Tipo;Recuperación (m);Longitud de corrida (m);RQD (m);FRACTURAS TOTALES;Frecuencia de fracturas;RQD  (%);Rango RQD  (%);Resistencia;Resistencia Corregida;Espaciamiento (m);EspaciamienSo (mm);Rango Espaciamiento;Apertura;Rugosidad;Relleno;Meteorización;Persistencia;Ratio89_RQD;Ratio89_Resistencia;Ratio89_Espaciamiento;Ratio_Apertura;Ratio_Rugosidad;Ratio_Relleno;Ratio_Meteorizacion;Ratio_Persistencia;CONDICION DE FRACTURA;Rango CJ89;Ratio_Agua;RMR89;Rango RMR89;Ratio76_RQD;Ratio76_Resistencia;Ratio76_Espaciamiento;Ratio76_Apertura;Ratio76_Rugosidad;Ratio76_Relleno;Ratio76_Meteorizacion;Ratio76_Persistencia;Ratio_Agua;RMR'76;Jn (Característica);Jr (Característica);Ja (Característica);Jn (Valor);Jr (Valor);Ja (Valor);Qprima;OBS.
EG-SRK-10;0;5;2022;BP980 ;1520;Volcánico;EG;-;5;3.223178965;62.5;12.5;64.46357929;50-75;R5;R5;0.08;80;0.06-0.2 m;A2;G4;F3;W3;P3;13.33153776;12;6.721099069;4;1;1;1;2;9;6-Oct;10;51.05263683;51-60;13;12;7;3;1;2;1;3;10;52;2A;D;E;6;1.5;4;4.028973706;
EG-SRK-11;0;5;2022;GA920 ;1550;Volcánico;EG;-;5;1.127315706;135;27;22.54631413;<25;R4;R4;0.037037037;37.03703704;<0.06 m;A2;G4;F3;W2;P3;4.851757958;7;5.19236059;4;1;1;3;2;11;Nov-15;10;38.04411855;31-40;5;7;5;3;1;2;3;3;10;39;3A;D;E;12;1.5;4;0.704572317;
EG-SRK-12;0;5;2022;BP900 ;1520;Volcánico;EG;-;5;1.616199464;105;21;32.32398929;25-50;R4;R4;0.047619048;47.61904762;<0.06 m;A2;G4;F3;W2;P3;6.89261239;7;5.648578344;4;1;1;3;2;11;Nov-15;10;40.54119073;41-50;7;7;5;3;1;2;3;3;10;41;3;D;E;9;1.5;4;1.346832887;
EG-SRK-22;0;5;2022;GA880 ;1680;Volcánico;EG;-;5;1.542205206;110;22;30.84410412;25-50;R4;R4;0.045454545;45.45454545;<0.06 m;A3;G4;F3;W3;P2;6.586177923;7;5.561206247;1;1;1;1;4;8;6-Oct;10;37.14738417;31-40;7;7;5;1;1;2;1;4;10;38;3A;E;E;12;1.5;4;0.963878254;
EG-SRK-26;0;5;2022;GA943 ;1490;Volcánico;EG;-;5;1.813848363;100;20;36.27696726;25-50;R5;R5;0.05;50;<0.06 m;A2;G3;F1;W2;P3;7.706846037;12;5.741689339;4;3;4;3;2;16;16-20;10;51.44853538;51-60;8;12;5;3;3;4;3;3;10;51;3A;C;C;12;2;2;3.023080605;
EG-SRK-27;0;5;2022;CX041 ;1490;Volcánico;EG;-;5;1.941308909;95;19;38.82617819;25-50;R4;R4;0.052631579;52.63157895;<0.06 m;A3;G4;F3;W3;P3;8.228616925;7;5.841232738;1;1;1;1;2;6;6-Oct;10;37.06984966;31-40;8;7;4;1;1;2;1;3;10;37;3A;D;E;12;1.5;4;1.213318068;
EG-SRK-28;0;5;2022;CX901 ;1520;Volcánico;EG;-;5;3.617492338;51.66666667;10.33333333;72.34984677;50-75;R5;R5;0.096774194;96.77419355;0.06-0.2 m;A1;G3;F1;W1;P3;14.84836127;12;7.163790408;5;3;4;5;2;19;16-20;10;63.01215168;61-70;15;12;8;4;3;4;4;3;10;63;2A;B;B;6;3;1;36.17492338;
EG-SRK-36;0;5;2022;BP105 ;1820;Volcánico;EG;-;5;1.898074638;95;19;37.96149276;25-50;R4;R4;0.052631579;52.63157895;<0.06 m;A3;G4;F3;W3;P3;8.051924973;7;5.841232738;1;1;1;1;2;6;6-Oct;10;36.89315771;31-40;8;7;4;1;1;2;1;3;10;37;3;E;E;9;1.5;4;1.581728865;
EG-SRK-37;0;5;2022;CX0044 ;1490;Volcánico;EG;-;5;2.030029249;90;18;40.60058497;25-50;R4;R4;0.055555556;55.55555556;<0.06 m;A3;G3;F3;W3;P3;8.590267018;7;5.948028296;1;3;1;1;2;8;6-Oct;10;39.53829531;31-40;9;7;5;1;3;2;1;3;10;41;3a;E;E;12;1.5;4;1.26876828;
EG-SRK-38;0;5;2022;BP105 ;1820;Dique Andesítico;EG;-;5;3.253072118;61.66666667;12.33333333;65.06144235;50-75;R4;R4;0.081081081;81.08108108;0.06-0.2 m;A2;G3;F3;W3;P3;13.44740063;7;6.751399031;4;3;1;1;2;11;Nov-15;10;48.19879966;41-50;13;7;7;3;3;2;1;3;10;49;3A;D;D;12;1.5;3;2.710893431;
EG-SRK-39;0;5;2022;BP105 ;1820;Dique Andesítico;EG;-;5;2.414824092;80;16;48.29648184;25-50;R4;R4;0.0625;62.5;0.06-0.2 m;A2;G3;F1;W2;P3;10.14422703;7;6.187486097;4;3;4;3;2;16;16-20;10;49.33171313;41-50;10;7;5;3;3;4;3;3;10;48;3;B;C;9;3;2;8.04941364;
EG-SRK-40;0;5;2022;BP105 ;1820;Dique Andesítico;EG;-;5;2.959163567;70;14;59.18327135;50-75;R4;R4;0.071428571;71.42857143;0.06-0.2 m;A2;G3;F3;W2;P3;12.30203279;7;6.470641482;4;3;1;3;2;13;Nov-15;10;48.77267427;41-50;12;7;6;3;3;2;3;3;10;49;2A;D;E;6;1.5;4;3.698954459;
