BHID;XCOLLAR;YCOLLAR;ZCOLLAR;MAXDEPTH
PECLD03542;592439.336;8753956.99;1650.205;100
PECLD04574;592439.487;8754091.39;1612.896;143.6
PECLD04626;592440.495;8754092.625;1612.921;830
PECLD05485;592889.289;8753977.766;1748.027;100
CL-18-GEO-1640-86;592468.29;8753979.1;1652.25;120
CL-18-GEO-1640-87;592468.29;8753979.1;1652.25;125.1
CL-18-GEO-1640-88;592468.29;8753979.1;1652.25;150
CL-18-GEO-1640-89;592468.29;8753979.1;1652.25;120
CL-18-GEO-1640-90;592468.29;8753979.1;1652.25;130
CL-18-GEO-1640-91;592468.29;8753979.1;1652.25;130.3
CL-18-GEO-1640-92;592468.29;8753979.1;1652.25;120.1
CL-18-GEO-1640-94;592468.29;8753979.1;1652.25;150
CL-18-GEO-1640-196;592703.31;8753953.85;1648.64;170
CL-18-GEO-1640-197;592703.31;8753953.85;1648.64;117
CL-18-GEO-1800-229;593022.24;8753997.33;1808.61;98
CL-18-GEO-1800-230;593022.24;8753997.33;1808.61;138
CL-18-GEO-1800-231;593022.24;8753997.33;1808.61;80
CL-18-GEO-1800-232;593022.24;8753997.33;1808.61;62
CL-18-GEO-1800-238;593144.65;8753894.6;1809;40
CL-18-GEO-1800-239;593144.65;8753894.6;1809;45
CL-18-GEO-1800-243;593022.24;8753997.33;1808.61;110
CL-19-GEO-1680-476;593025.17;8753863.86;1693.01;12
CL-19-GEO-1680-477;593025.17;8753863.86;1693.01;33
CL-19-GEO-1680-478;593025.17;8753863.86;1693.01;42
CL-19-GEO-1770-349;592577.31;8754142.78;1777.21;110
CL-19-GEO-1620-524;592627.97;8754044.16;1629.4;30
CL-19-GEO-1620-525;592627.97;8754044.16;1629.4;29.4
CL-19-GEO-1650-442;592447.34;8753889.27;1652.1;40
CL-19-GEO-1650-443;592447.34;8753889.27;1652.1;24.5
CL-19-GEO-1650-444;592447.34;8753889.27;1652.1;19.4
CL-19-GEO-1650-445;592447.34;8753889.27;1652.1;21.2
CL-19-GEO-1650-446;592447.34;8753889.27;1652.1;20.6
CL-19-GEO-1650-448;592447.34;8753889.27;1652.1;31
CL-19-GEO-1650-449;592447.34;8753889.27;1652.1;22.5
CL-19-GEO-1650-450;592447.34;8753889.27;1652.1;31.6
CL-19-GEO-1650-451;592447.34;8753889.27;1652.1;50
CL-19-GEO-1680-479;593025.17;8753863.86;1693.01;50
CL-19-GEO-1680-480;593031.3;8753857.35;1693.01;30
CL-19-GEO-1680-481;593031.3;8753857.35;1693.01;12
CL-19-GEO-1680-482;593031.3;8753857.35;1693.01;30
CL-19-GEO-1680-483;593031.3;8753857.35;1693.01;12
CL-19-GEO-1710-345;592568.93;8754050.92;1725.2;17.2
CL-19-GEO-1710-497;592453.67;8753941.68;1728.58;60
CL-19-GEO-1710-498;592453.67;8753941.68;1728.58;55
CL-19-GEO-1710-499;592453.67;8753941.68;1728.58;70
CL-19-GEO-1710-500;592453.67;8753941.68;1728.58;52.8
CL-19-GEO-1740-384;592533.52;8753913.82;1745.81;18
CL-19-GEO-1740-385;592533.52;8753913.82;1745.81;12.3
CL-19-GEO-1740-386;592537.46;8753916.57;1745.81;8.2
CL-19-GEO-1740-501;593075.11;8754017.51;1722.88;24.27
CL-19-GEO-1740-502;593075.11;8754017.51;1722.88;40
CL-19-GEO-1820-512;593154.38;8754009.63;1826.75;43
CL-19-GEO-1820-513;593154.38;8754009.63;1826.75;56
CL-19-GEO-1820-514;593154.38;8754009.63;1826.75;36
CL-19-GEO-1820-515;593154.38;8754009.63;1826.75;34.7
CL-19-GEO-1820-516;593154.38;8754009.63;1826.75;36.5
CL-19-GEO-1820-517;593154.38;8754009.63;1826.75;46.2
CL-19-GEO-1820-525;593154.38;8754009.63;1826.75;36
CL-19-GEO-1830-369;592549.58;8753817.58;1846.39;50
CL-20-GEO-1680-583;592453.647;8753918.6;1694;46.5
CL-20-GEO-1680-584;592453.647;8753918.6;1694;35
CL-20-GEO-1710-709;593090.756;8754070.412;1722;30.2
CL-20-GEO-1710-716;593090.756;8754070.412;1720;24.5
CL-20-GEO-1770-545;592876.604;8753982.604;1778.849;31
CL-20-GEO-1770-546;592876.604;8753982.604;1778.849;35.1
CL-20-GEO-1770-547;592876.604;8753982.604;1778.849;31
CL-20-GEO-1770-548;592876.604;8753982.604;1778.849;34.65
CL-20-GEO-1800-650;592873.89;8754278.226;1809.1;18.9
CL-20-GEO-1880-540;592873.521;8754015.777;1896;22
CL-20-GEO-1880-541;592873.521;8754015.777;1896;29
CL-20-GEO-1880-542;592873.521;8754015.777;1896;36
CL-20-GEO-1880-543;592873.521;8754015.777;1896;40
CL-20-GEO-1880-544;592873.521;8754015.777;1896;46
CL-20-GEO-1880-688;593075.567;8754008.674;1893.3;68
CL-21-GEO-1600-823;592609.155;8754121.551;1611.046;16
CL-21-GEO-1600-824;592610.012;8754120.311;1611.046;16
CL-21-GEO-1650-852;592456.49;8753947.37;1664.76;42
CL-21-GEO-1650-853;592456.49;8753947.37;1664.76;46
CL-21-GEO-1650-854;592456.49;8753947.37;1664.76;34.8
CL-21-GEO-1650-855;592456.49;8753947.37;1664.76;23.5
CL-21-GEO-1680-737;592531.78;8753854.601;1704;42.9
CL-21-GEO-1680-790;592794.267;8753980.819;1697.096;45
CL-21-GEO-1680-791;592794.267;8753980.819;1697.096;45
CL-21-GEO-1680-885;593033.202;8753938.637;1691.179;35.3
CL-21-GEO-1740-741;592888.824;8753976.933;1747;100
CL-21-GEO-1740-742;592888.824;8753976.933;1747;100
CL-21-GEO-1740-743;592888.824;8753976.933;1747;80
CL-21-GEO-1740-744;592888.824;8753976.933;1747;90
