BHID;AT;DIP;BRG
CL-18-GEO-1640-86;0;10;268
CL-18-GEO-1640-87;0;-27;268
CL-18-GEO-1640-88;0;-56;268
CL-18-GEO-1640-89;0;13;245
CL-18-GEO-1640-90;0;-27;245
CL-18-GEO-1640-91;0;-56;245
CL-18-GEO-1640-92;0;4;215
CL-18-GEO-1640-94;0;-56;215
CL-18-GEO-1640-196;0;-17;9
CL-18-GEO-1640-197;0;-30;9
CL-18-GEO-1800-229;0;-11;102
CL-18-GEO-1800-230;0;-39;102
CL-18-GEO-1800-231;0;8;132
CL-18-GEO-1800-232;0;-25;132
CL-18-GEO-1800-238;0;-16;263
CL-18-GEO-1800-239;0;-37;263
CL-18-GEO-1800-243;0;28;102
CL-19-GEO-1680-476;0;35;288
CL-19-GEO-1680-477;0;-30;288
CL-19-GEO-1680-478;0;29;225
CL-19-GEO-1770-349;0;0;44
CL-19-GEO-1620-524;0;-25;309
CL-19-GEO-1620-525;0;-20;309
CL-19-GEO-1650-442;0;-16;311
CL-19-GEO-1650-443;0;-34;328
CL-19-GEO-1650-444;0;-15;328
CL-19-GEO-1650-445;0;-29;349
CL-19-GEO-1650-446;0;-13;349
CL-19-GEO-1650-448;0;25;328
CL-19-GEO-1650-449;0;10;349
CL-19-GEO-1650-450;0;30;349
CL-19-GEO-1650-451;0;40;328
CL-19-GEO-1680-479;0;-19;225
CL-19-GEO-1680-480;0;39;197
CL-19-GEO-1680-481;0;-24;197
CL-19-GEO-1680-482;0;40;123
CL-19-GEO-1680-483;0;-31;123
CL-19-GEO-1710-345;0;-80;310
CL-19-GEO-1710-497;0;-52;209
CL-19-GEO-1710-498;0;-64;209
CL-19-GEO-1710-499;0;-59;199
CL-19-GEO-1710-500;0;-67;192
CL-19-GEO-1740-384;0;-70;55
CL-19-GEO-1740-385;0;-70;235
CL-19-GEO-1740-386;0;-90;0
CL-19-GEO-1740-501;0;-34;173
CL-19-GEO-1740-502;0;-20;173
CL-19-GEO-1820-512;0;-22;113
CL-19-GEO-1820-513;0;-15;113
CL-19-GEO-1820-514;0;-26;123
CL-19-GEO-1820-515;0;-17;123
CL-19-GEO-1820-516;0;-26;135
CL-19-GEO-1820-517;0;-16;135
CL-19-GEO-1820-525;0;-9;123
CL-19-GEO-1830-369;0;0;45
CL-20-GEO-1680-583;0;70;237
CL-20-GEO-1680-584;0;57;237
CL-20-GEO-1710-709;0;42;225
CL-20-GEO-1710-716;0;67;225
CL-20-GEO-1770-545;0;20;45
CL-20-GEO-1770-546;0;-21;45
CL-20-GEO-1770-547;0;20;65
CL-20-GEO-1770-548;0;-21;65
CL-20-GEO-1800-650;0;90;0
CL-20-GEO-1880-540;0;25;325
CL-20-GEO-1880-541;0;47;325
CL-20-GEO-1880-542;0;16;291
CL-20-GEO-1880-543;0;30;291
CL-20-GEO-1880-544;0;41;291
CL-20-GEO-1880-688;0;10;236
CL-21-GEO-1600-823;0;3.7;50
CL-21-GEO-1600-824;0;3.7;50
CL-21-GEO-1650-852;0;18;196
CL-21-GEO-1650-853;0;-21;196
CL-21-GEO-1650-854;0;21;187
CL-21-GEO-1650-855;0;-25;187
CL-21-GEO-1680-737;0;35;325
CL-21-GEO-1680-790;0;6;37
CL-21-GEO-1680-791;0;19;37
CL-21-GEO-1680-885;0;37;180
CL-21-GEO-1740-741;0;-18;76.5
CL-21-GEO-1740-742;0;12;76.5
CL-21-GEO-1740-743;0;10;86.5
CL-21-GEO-1740-744;0;-17;86.5
CL-21-GEO-1740-745;0;-32;86.5
CL-21-GEO-1770-843;0;0;194
CL-21-GEO-1770-844;0;0;137
CL-21-GEO-1770-845;0;0;98
CL-21-GEO-1770-846;0;0;68
CL-21-GEO-1770-847;0;0;304
CL-21-GEO-1770-848;0;0;344
CL-21-GEO-1770-872;0;0;355
CL-21-GEO-1770-873;0;0;22
CL-21-GEO-1770-874;0;0;76
CL-21-GEO-1770-892;0;0;58
CL-21-GEO-1770-909;0;-19;187
CL-21-GEO-1770-912;0;-10;217
CL-21-GEO-1820-761;0;0;133
CL-21-GEO-1820-839;0;10;153
CL-21-GEO-1820-861;0;-9;290
CL-21-GEO-1820-916;0;0;105
CL-21-GEO-1880-799;0;-32;286
CL-21-GEO-1880-806;0;-8;286
CL-21-GEO-1880-807;0;-36;274.7
CL-21-GEO-1880-808;0;-26;274.7
CL-21-GEO-1880-810;0;-26;274.7
CL-21-GEO-1880-865;0;-20;280
CL-21-GEO-1910-792;0;48;126
CL-22-GEO-1620-1009;0;15;185.7
CL-22-GEO-1620-1010;0;34;185.7
CL-22-GEO-1620-1011;0;13;99.8
CL-22-GEO-1620-1012;0;30;155.2
CL-22-GEO-1620-1013;0;29;99.8
CL-22-GEO-1640-1006;0;45;235
CL-22-GEO-1640-1007;0;45;254.2
CL-22-GEO-1640-1008;0;45;215.1
CL-22-GEO-1710-977;0;10;106.6
CL-22-GEO-1710-978;0;25;106.6
CL-22-GEO-1770-1021;0;23;240
CL-22-GEO-1770-1022;0;34;240
CL-22-GEO-1770-1023;0;45;240
CL-22-GEO-1770-1024;0;-21;240
CL-22-GEO-1770-1025;0;6.7;240
CL-22-GEO-1770-1027;0;12;220
CL-22-GEO-1770-1028;0;-20;220
CL-22-GEO-1770-1029;0;12;230
CL-22-GEO-1820-947;0;-0.5;261
CL-22-GEO-1820-948;0;-0.5;236
CL-22-GEO-1820-949;0;-0.5;216
CL-22-GEO-1820-950;0;-0.5;187
PECLD03542;0;-50.48;65.88
PECLD04574;0;-70.17;140.29
PECLD04626;0;-74.81;101.94
PECLD04626;5;-75.01;101.93
PECLD04626;10;-75.08;101.89
PECLD04626;15;-74.92;101.92
PECLD04626;20;-74.92;101.94
PECLD04626;25;-74.91;101.9
PECLD04626;30;-75;101.97
PECLD04626;35;-74.96;101.86
PECLD04626;40;-74.9;101.91
PECLD04626;45;-74.91;101.94
PECLD04626;50;-74.97;101.96
PECLD04626;55;-74.91;101.96
PECLD04626;60;-74.91;101.93
PECLD04626;65;-74.96;101.78
PECLD04626;70;-74.95;101.67
PECLD04626;75;-74.85;101.81
PECLD04626;80;-74.97;101.97
PECLD04626;85;-74.96;101.95
PECLD04626;90;-74.91;101.97
PECLD04626;95;-74.96;102.03
PECLD04626;100;-74.96;101.98
PECLD04626;105;-74.79;101.91
PECLD04626;110;-74.89;101.89
PECLD04626;115;-74.79;101.89
PECLD04626;120;-74.94;102.06
PECLD04626;125;-75.02;101.96
PECLD04626;130;-75;101.78
PECLD04626;135;-75.06;101.67
PECLD04626;140;-75.06;101.88
PECLD04626;145;-75.08;101.83
PECLD04626;150;-75.06;101.78
PECLD04626;155;-75.02;101.85
PECLD04626;160;-75.12;101.82
PECLD04626;165;-75.12;101.73
PECLD04626;170;-75.07;101.79
PECLD04626;175;-75.1;101.91
PECLD04626;180;-75.21;101.95
PECLD04626;185;-75.16;102.01
PECLD04626;190;-75.01;101.94
PECLD04626;195;-75.4;101.9
PECLD04626;200;-75.11;101.82
PECLD04626;205;-75.12;101.79
PECLD04626;210;-74.95;101.76
PECLD04626;215;-75.12;101.98
PECLD04626;220;-75.02;102.05
PECLD04626;225;-75.02;102.08
PECLD04626;230;-75.07;102.12
PECLD04626;235;-74.91;102.01
PECLD04626;240;-75.1;102.09
PECLD04626;245;-75.01;102.14
PECLD04626;250;-75.05;102.19
PECLD04626;255;-74.95;102.22
PECLD04626;260;-74.9;102.27
PECLD04626;265;-74.98;102.33
PECLD04626;270;-74.99;102.38
PECLD04626;275;-74.95;102.38
PECLD04626;280;-75;102.48
PECLD04626;285;-74.68;102.48
PECLD04626;290;-74.89;102.48
PECLD04626;295;-74.95;102.39
PECLD04626;300;-74.95;102.38
PECLD04626;305;-74.94;102.48
PECLD04626;310;-75.05;102.54
PECLD04626;315;-74.94;102.55
PECLD04626;320;-74.84;102.53
PECLD04626;325;-74.99;102.5
PECLD04626;330;-74.94;102.43
PECLD04626;335;-74.94;102.29
PECLD04626;340;-74.94;102.41
PECLD04626;345;-74.82;102.54
PECLD04626;350;-75.05;102.55
PECLD04626;355;-74.93;102.46
PECLD04626;360;-74.76;102.4
PECLD04626;365;-74.77;102.48
PECLD04626;370;-74.94;102.48
PECLD04626;375;-74.93;102.44
PECLD04626;380;-74.99;102.52
PECLD04626;385;-74.88;102.59
PECLD04626;390;-74.88;102.52
PECLD04626;395;-74.95;102.71
PECLD04626;400;-75.16;102.88
PECLD04626;405;-74.94;102.86
PECLD04626;410;-74.94;102.68
PECLD04626;415;-74.93;102.7
PECLD04626;420;-74.84;102.74
PECLD04626;425;-75.04;102.8
PECLD04626;430;-75.04;102.82
PECLD04626;435;-75.05;102.9
PECLD04626;440;-75.03;102.98
PECLD04626;445;-74.98;103.12
PECLD04626;450;-74.93;103.19
PECLD04626;455;-74.98;103.12
PECLD04626;460;-74.99;103.14
PECLD04626;465;-75.22;103.35
PECLD04626;470;-75;103.35
PECLD04626;475;-74.99;103.19
PECLD04626;480;-74.98;103.2
PECLD04626;485;-75.1;103.26
PECLD04626;490;-75.05;103.48
PECLD04626;495;-75.12;103.62
PECLD04626;500;-75.05;103.58
PECLD04626;505;-74.94;103.49
PECLD04626;510;-75.06;103.43
PECLD04626;515;-75.1;103.46
PECLD04626;520;-75.1;103.53
PECLD04626;525;-75.04;103.66
PECLD04626;530;-75.17;103.74
PECLD04626;535;-75.17;103.71
PECLD04626;540;-75.05;103.55
PECLD04626;545;-75.17;103.62
PECLD04626;550;-75.17;103.62
PECLD04626;555;-75.16;103.57
PECLD04626;560;-75.23;103.64
PECLD04626;565;-75.44;103.69
PECLD04626;570;-75.38;103.75
PECLD04626;575;-75.34;103.76
PECLD04626;580;-75.38;103.88
PECLD04626;585;-75.43;103.79
PECLD04626;590;-75.33;103.9
PECLD04626;595;-75.37;103.96
PECLD04626;600;-75.28;104.16
PECLD04626;605;-75.33;104
PECLD04626;610;-75.49;103.97
PECLD04626;615;-75.45;103.89
PECLD04626;620;-75.4;103.97
PECLD04626;625;-75.38;104.27
PECLD04626;630;-75.23;104.28
PECLD04626;635;-75.27;104.29
PECLD04626;640;-75.31;104.33
PECLD04626;645;-75.38;104.32
PECLD04626;650;-75.32;104.43
PECLD04626;655;-75.38;104.58
PECLD04626;660;-75.32;104.6
PECLD04626;665;-75.32;104.8
PECLD04626;670;-75.27;104.69
PECLD04626;675;-75.16;104.7
PECLD04626;680;-75.28;104.76
PECLD04626;685;-75.33;104.88
PECLD04626;690;-75.28;104.79
PECLD04626;695;-75.15;104.76
PECLD04626;700;-75.19;104.84
PECLD04626;705;-75.3;105.11
PECLD04626;710;-75.26;105.16
PECLD04626;715;-75.32;105.03
PECLD04626;720;-75.32;104.93
PECLD04626;725;-75.31;105.24
PECLD04626;730;-75.25;105.33
PECLD04626;735;-75.2;105.54
PECLD04626;740;-75.21;105.49
PECLD04626;745;-75.32;105.44
PECLD04626;750;-75.27;105.49
PECLD04626;755;-75.1;105.5
PECLD04626;760;-75.26;105.66
PECLD04626;765;-75.25;105.64
PECLD04626;770;-75.1;105.62
PECLD04626;775;-75.24;105.89
PECLD04626;780;-75.09;106.02
PECLD04626;785;-75.14;106.04
PECLD04626;790;-75.14;106.21
PECLD04626;795;-75.15;106.28
PECLD04626;800;-75.36;106.19
PECLD04626;805;-75.24;106.36
PECLD04626;810;-75.1;106.61
PECLD04626;815;-75.09;106.55
PECLD04626;820;-75.26;106.66
PECLD04626;825;-74.94;106.63
PECLD04626;830;-75.81;107.23
PECLD05485;0;17.86;76.78
DDH_CL05C;0;-5;72
DDH_CL06C;0;28;170
DDH_CL08F;0;11;321
DDH_CL09F;0;4;2
EG-SRK-10;0;0;301
EG-SRK-11;0;0;301
EG-SRK-12;0;0;301
EG-SRK-22;0;0;301
EG-SRK-26;0;0;301
EG-SRK-27;0;0;301
EG-SRK-28;0;0;301
EG-SRK-36;0;0;301
EG-SRK-37;0;0;301
EG-SRK-38;0;0;301
EG-SRK-39;0;0;301
EG-SRK-40;0;0;301
EG-SRK-41;0;0;301
EG-SRK-44;0;0;301
EG-SRK-45;0;0;301
EG-SRK-46;0;0;301
EG-SRK-59;0;0;301
EG-SRK-60;0;0;301
EG-NEXA-4;0;0;301
EG-NEXA-6;0;0;301
EG-NEXA-7;0;0;301
EG-NEXA-9;0;0;301
EG-NEXA-10;0;0;301
EG-NEXA-11;0;0;301
EG-NEXA-13;0;0;301
EG-NEXA-14;0;0;301
EG-NEXA-19;0;0;301
EG-NEXA-25;0;0;301
EG-NEXA-28;0;0;301
EG-NEXA-29;0;0;301
EG-NEXA-30;0;0;301
EG-NEXA-31;0;0;301
EG-NEXA-33;0;0;301
EG-NEXA-34;0;0;121
EG-NEXA-35;0;0;301
EG-NEXA-40;0;0;301
EG-NEXA-41;0;0;301
EG-NEXA-42;0;0;301
EG-NEXA-48;0;0;301
EG-NEXA-49;0;0;121
EG-NEXA-50;0;0;301
EG-NEXA-51;0;0;301
EG-NEXA-56;0;0;301
EG-NEXA-61;0;0;301
EG-NEXA-62;0;0;121
EG-NEXA-63;0;0;301
EG-NEXA-64;0;0;301
EG-NEXA-65;0;0;301
EG-NEXA-66;0;0;301
EG-NEXA-67;0;0;301
EG-NEXA-68;0;0;301
EG-NEXA-69;0;0;301
EG-NEXA-70;0;0;301
EG-NEXA-71;0;0;301
EG-NEXA-72;0;0;301
EG-NEXA-73;0;0;301
EG-NEXA-74;0;0;301
EG-NEXA-75;0;0;301
EG-NEXA-76;0;0;301
EG-NEXA-77;0;0;301
EG-NEXA-80;0;0;301
EG-NEXA-81;0;0;301
EG-NEXA-82;0;0;301
EG-NEXA-83;0;0;301
EG-NEXA-84;0;0;301
EG-NEXA-86;0;0;301
EG-NEXA-87;0;0;301
EG-NEXA-88;0;0;301
EG-NEXA-89;0;0;121
EG-NEXA-91;0;0;301
EG-NEXA-92;0;0;301
EG-NEXA-94;0;0;301
EG-NEXA-95;0;0;301
EG-NEXA-96;0;0;301
EG-NEXA-97;0;0;301
EG-NEXA-98;0;0;301
EG-NEXA-130;0;0;301
EG-NEXA-137;0;0;301
EG-NEXA-146;0;0;301
EG-NEXA-147;0;0;301
EG-NEXA-148;0;0;121
EG-NEXA-158;0;0;301
EG-NEXA-163;0;0;301
EG-NEXA-165;0;0;301
EG-NEXA-167;0;0;301
EG-NEXA-168;0;0;301
EG-NEXA-169;0;0;301
EG-NEXA-170;0;0;301
EG-NEXA-172;0;0;301
EG-NEXA-175;0;0;301
EG-NEXA-176;0;0;121
EG-NEXA-179;0;0;301
EG-NEXA-180;0;0;301
EG-NEXA-181;0;0;301
EG-NEXA-182;0;0;301
EG-NEXA-185;0;0;301
EG-NEXA-190;0;0;301
EG-NEXA-191;0;0;301
EG-NEXA-195;0;0;301
EG-NEXA-204;0;0;301
EG-NEXA-205;0;0;301
EG-NEXA-209;0;0;301
EG-NEXA-213;0;0;301
EG-NEXA-216;0;0;301
EG-NEXA-217;0;0;301
EG-NEXA-224;0;0;301
EG-NEXA-280;0;0;301
EG-NEXA-423;0;0;301
EG-NEXA-424;0;0;301
EG-NEXA-431;0;0;301
EG-NEXA-434;0;0;301
EG-NEXA-435;0;0;301
EG-NEXA-436;0;0;301
EG-NEXA-437;0;0;301
EG-NEXA-438;0;0;301
EG-NEXA-440;0;0;301
EG-NEXA-441;0;0;301
EG-NEXA-442;0;0;121
EG-NEXA-443;0;0;301
EG-NEXA-444;0;0;121
EG-NEXA-445;0;0;301
EG-NEXA-448;0;0;301
EG-NEXA-450;0;0;301
EG-NEXA-451;0;0;301
EG-NEXA-456;0;0;301
EG-NEXA-458;0;0;301
EG-NEXA-467;0;0;301
EG-NEXA-468;0;0;301
EG-NEXA-469;0;0;121
EG-NEXA-472;0;0;301
EG-NEXA-474;0;0;301
EG-NEXA-477;0;0;301
EG-NEXA-478;0;0;121
EG-NEXA-481;0;0;301
EG-NEXA-486;0;0;301
EG-NEXA-489;0;0;301
EG-NEXA-494;0;0;301
EG-NEXA-496;0;0;301
EG-NEXA-498;0;0;301
EG-NEXA-499;0;0;301
EG-NEXA-500;0;0;301
EG-NEXA-501;0;0;301
EG-NEXA-505;0;0;301
EG-NEXA-509;0;0;301
EG-NEXA-512;0;0;301
EG-NEXA-513;0;0;301
EG-NEXA-517;0;0;301
EG-NEXA-519;0;0;301
EG-NEXA-520;0;0;301
EG-NEXA-524;0;0;301
EG-NEXA-531;0;0;301
